Stage,Division,Group/Bracket,Round,Match format,Team A,Team B,Winning team,Game 1 - Score team A,Game 1 - Score team B,Game 2 - Score team A,Game 2 - Score team B,Game 3 - Score team A,Game 3 - Score team B,Game 4 - Score team A,Game 4 - Score team B,Game 5 - Score team A,Game 5 - Score team B,Team A - Player 1,Team A - Player 2,Team A - Player 3,Team A - Player 4,Team A - Player 5,Team A - Player 6,Team A - Player 7,Team A - Player 8,Team A - Player 9,Team A - Player 10,Team A - Player 11,Team A - Player 12,Team A - Player 13,Team A - Player 14,Team B - Player 1,Team B - Player 2,Team B - Player 3,Team B - Player 4,Team B - Player 5,Team B - Player 6,Team B - Player 7,Team B - Player 8,Team B - Player 9,Team B - Player 10,Team B - Player 11,Team B - Player 12,Team B - Player 13,Team B - Player 14
Group Stage,Men's Individual,Group N (135 - 137),1,Single game,DEN - Høj/Linnet,AUS - Kaldor/Read,AUS - Kaldor/Read,17,21,,,,,,,,,Søren Høy,Mathias Linnet,,,,,,,,,,,,,Thomas Kaldor,Joel Read,,,,,,,,,,,,
Group Stage,Men's Individual,Group A (101 - 102),2,Single game,CAN - Dean/Mathieu,ROU - Cîmpian/Bîrsan,CAN - Dean/Mathieu,21,11,,,,,,,,,Emerson Dean,Vincent Mathieu,,,,,,,,,,,,,Birsan Razvan,Lucian Cimpian,,,,,,,,,,,,
Group Stage,Men's Individual,Group A (101 - 102),2,Single game,SUI - Rimle/Tognini,MEX - Goar/Canovas,SUI - Rimle/Tognini,21,16,,,,,,,,,Emanuel Rimle,Nicolas Tognini,,,,,,,,,,,,,Santiago Canovas,Gerardo Goar,,,,,,,,,,,,
Group Stage,Men's Individual,Group B (103 - 104),2,Single game,USA - Bondi/Finocchi,ESP - Cuesta/Cuesta,USA - Bondi/Finocchi,21,10,,,,,,,,,Gabriel Finocchi,Joe Bondi,Gabriel Finocchi,PJ Showalter,,,,,,,,,,,Esteban Cuesta,Guillermo Cuesta Fuentes,,,,,,,,,,,,
Group Stage,Men's Individual,Group B (103 - 104),2,Single game,SUI - Kukuljan/Rieser,ROU - Colac/Popa,SUI - Kukuljan/Rieser,21,14,,,,,,,,,Teo Kukuljan,Serafin Rieser,,,,,,,,,,,,,Traian Colac,Madalin Popa,,,,,,,,,,,,
Group Stage,Men's Individual,Group C (105 - 106),2,Single game,USA - Cole/Klapwijk,POL - Pętlak/Cichocki,USA - Cole/Klapwijk,21,10,,,,,,,,,Matthew Cole,Grant Klapwijk,,,,,,,,,,,,,Mikołaj Cichocki,Tadeusz Pętlak,,,,,,,,,,,,
Group Stage,Men's Individual,Group C (105 - 106),2,Single game,LTU - Butkus/Lekečinskas,LAT - Beļajevs/Eglītis,LTU - Butkus/Lekečinskas,21,15,,,,,,,,,Mindaugas Butkus,Ugnius Lekecinskas,,,,,,,,,,,,,Miks Eglitis,Andris Belajevs,,,,,,,,,,,,
Group Stage,Men's Individual,Group D (107 - 108),2,Single game,CAN - Bosak/Cote,NED - Schouten/van Manen,CAN - Bosak/Cote,21,7,,,,,,,,,Blake Bosak,Etienne Cote,,,,,,,,,,,,,Jarec Schouten,Stan van Manen,,,,,,,,,,,,
Group Stage,Men's Individual,Group D (107 - 108),2,Single game,CZE - Mezzey/Visek,BRA - Tiba/Silva,CZE - Mezzey/Visek,21,14,,,,,,,,,Sebi Mezzey,Jakub Víšek,,,,,,,,,,,,,Nicolas Tiba,Victor Hugo da Silva,,,,,,,,,,,,
Group Stage,Men's Individual,Group E (109 - 110),2,Single game,GER - Eisenträger/Siemer,ISR - Lurie/Wish,GER - Eisenträger/Siemer,21,9,,,,,,,,,Paul Siemer,Eisenträger Lukas,,,,,,,,,,,,,Auriel Wish,Guy Lurie,,,,,,,,,,,,
Group Stage,Men's Individual,Group E (109 - 110),2,Single game,BEL - Theunis/Declercq,TWN - Chen/Kao,BEL - Theunis/Declercq,21,19,,,,,,,,,Bram Declercq,Frederik Theunis,,,,,,,,,,,,,Po-Jui Chen,Yu-Heng Kao,,,,,,,,,,,,
Group Stage,Men's Individual,Group F (111 - 113),2,Single game,USA - Hamilton/Marino,MEX - Rivera/Islas,USA - Hamilton/Marino,21,5,,,,,,,,,Ryan Marino,Thomas Hamilton,,,,,,,,,,,,,Mauricio Rivera,Dante Islas,,,,,,,,,,,,
Group Stage,Men's Individual,Group F (111 - 113),2,Single game,ESP - Campos/ Forschner,SWE - Ekman/Stenquist,ESP - Campos/ Forschner,21,20,,,,,,,,,Marcos Campos,Erik Borja Forschner Mitre,,,,,,,,,,,,,Esaja Ekman,Simon Stenquist,,,,,,,,,,,,
Group Stage,Men's Individual,Group F (111 - 113),2,Single game,FIN - Kyläinpää/Kyläinpää,INA - Denny/Genta,FIN - Kyläinpää/Kyläinpää,21,9,,,,,,,,,Kosti Kyläinpää,Kari Kyläinpää,,,,,,,,,,,,,Genta Fajar,Denny Rahmat Ramdhani,,,,,,,,,,,,
Group Stage,Men's Individual,Group G (114 - 116),2,Single game,USA - Picone/Nelson,BRA - Ítalo/Zancan,USA - Picone/Nelson,21,5,,,,,,,,,Will Picone,Connor Nelson,,,,,,,,,,,,,Pedro Zancan,Danilo Italo,,,,,,,,,,,,
Group Stage,Men's Individual,Group G (114 - 116),2,Single game,ITA - Dudine/Zanellato,NOR - Aasen/Hanisch,ITA - Dudine/Zanellato,21,12,,,,,,,,,Jacopo Dudine,Alessandro Zanellato,,,,,,,,,,,,,Halvard Hanisch,Benjamin Aasen,,,,,,,,,,,,
Group Stage,Men's Individual,Group G (114 - 116),2,Single game,FIN - Youssef/Heikkinen,INA - Fairuzzaman/Rudy,FIN - Youssef/Heikkinen,21,11,,,,,,,,,Waltteri Heikkinen,Amir Youssef,,,,,,,,,,,,,Rudy Nugraha,Naufal Fairuzzaman,,,,,,,,,,,,
Group Stage,Men's Individual,Group H (117 - 119),2,Single game,CAN - Gagnon/Leung,COL - Moreno/Ricky,CAN - Gagnon/Leung,21,7,,,,,,,,,Eddy Leung,Jé Gagnon,,,,,,,,,,,,,Roundnet Colombia,Ricky Santiago,,,,,,,,,,,,
Group Stage,Men's Individual,Group H (117 - 119),2,Single game,BEL - Vandaele/Poel,LAT - Jaunpetrovičs/Juška,BEL - Vandaele/Poel,21,12,,,,,,,,,Florian Poel,Levi Vandaele,,,,,,,,,,,,,Aleksandrs Juška,Mikus Jaunpetrovičs,,,,,,,,,,,,
Group Stage,Men's Individual,Group H (117 - 119),2,Single game,TWN - Chang/Chou,LUX - Clees/Thomé,TWN - Chang/Chou,21,11,,,,,,,,,CHOU PO-JUI,Wade Chang,,,,,,,,,,,,,Nicolas Thomé,Mike Ries,,,,,,,,,,,,
Group Stage,Men's Individual,Group I (120 - 122),2,Single game,FRA - Clark/Florinda,JPN - Ishii/Shimizu,FRA - Clark/Florinda,21,15,,,,,,,,,Auxence Clark,Robin Florinda,,,,,,,,,,,,,Kenzo Ishii,Maharoh Shimizu,,,,,,,,,,,,
Group Stage,Men's Individual,Group I (120 - 122),2,Single game,AUT - Bachler/Stoisser,GBR - Elbourne/Powell,AUT - Bachler/Stoisser,21,14,,,,,,,,,Gabriel Stoisser,Benjamin Bachler,,,,,,,,,,,,,Archie Powell,Mark Elbourne,,,,,,,,,,,,
Group Stage,Men's Individual,Group I (120 - 122),2,Single game,CHI - Herrera/Larroza,EGY - Atwan/Saafan,CHI - Herrera/Larroza,21,5,,,,,,,,,Oriel Herrera,Felipe Larroza,,,,,,,,,,,,,Ahmed Saafan,Youssef Atwan,,,,,,,,,,,,
Group Stage,Men's Individual,Group J (123 - 125),2,Single game,ITA - Bazzani/Borsotti,COL - Maya/Duque,ITA - Bazzani/Borsotti,21,10,,,,,,,,,Nicola Bazzani,Andrea Borsotti,,,,,,,,,,,,,Bernardo Maya,Jose Duque,,,,,,,,,,,,
Group Stage,Men's Individual,Group J (123 - 125),2,Single game,AUT - Handschmann/Jindra,SWE - Henström/Mjönes,AUT - Handschmann/Jindra,21,18,,,,,,,,,Stefan Handschmann,David Jindra,,,,,,,,,,,,,Herman Henström,Samuel Mjönes,,,,,,,,,,,,
Group Stage,Men's Individual,Group J (123 - 125),2,Single game,AUS - Geyer/Noble,EGY - Naim/Nader,AUS - Geyer/Noble,21,5,,,,,,,,,Murray Noble,Levi Geyer,,,,,,,,,,,,,karim nader,Karim Naim,,,,,,,,,,,,
Group Stage,Men's Individual,Group K (126 - 128),2,Single game,GER - Christiani/Krehle,JPN - Nakamura/Takei,GER - Christiani/Krehle,21,7,,,,,,,,,Julian Krehle,Lucas Christiani,,,,,,,,,,,,,Yuki Nakamura,Yuya Takei,,,,,,,,,,,,
Group Stage,Men's Individual,Group K (126 - 128),2,Single game,FRA - Danekas/Hemelryck,IND - Dass/Dua,FRA - Danekas/Hemelryck,21,12,,,,,,,,,Théo Vanh Hemelryck,Ryan DANEKAS,Théo Vanh Hemelryck,,,,,,,,,,,,Vibhor Dua,sumer dass,,,,,,,,,,,,
Group Stage,Men's Individual,Group K (126 - 128),2,Single game,CHI - Yañez/Rivera,LUX - Mertens/Bermes,CHI - Yañez/Rivera,21,16,,,,,,,,,Felipe Rivera,Lucas Yañez,,,,,,,,,,,,,Pit Bermes,Michel Mertens,,,,,,,,,,,,
Group Stage,Men's Individual,Group L (129 - 131),2,Single game,CAN - Déry/Kim,NOR - Kuehl/Steinsholt,CAN - Déry/Kim,21,12,,,,,,,,,Elijah Kim,Thomas Déry,,,,,,,,,,,,,Andrew Kuehl,Jørgen Steinsholt,,,,,,,,,,,,
Group Stage,Men's Individual,Group L (129 - 131),2,Single game,FRA - Caux-Ramon/Lacombe,POL - Stachiewicz/Łochowski,FRA - Caux-Ramon/Lacombe,21,14,,,,,,,,,Samy Caux-Ramon,Hugo Lacombe,,,,,,,,,,,,,Max Łochowski,Jan Stachiewicz,,,,,,,,,,,,
Group Stage,Men's Individual,Group L (129 - 131),2,Single game,IRE - O’Gara/Prelich,HKG - Lui/Yan,IRE - O’Gara/Prelich,21,17,,,,,,,,,Connor Prelich,Eoin O'Gara,,,,,,,,,,,,,Caleb Yan,Clayton Lui,,,,,,,,,,,,
Group Stage,Men's Individual,Group M (132 - 134),2,Single game,GER - Grönebaum/Prüfer,ISR - Rotem/Tomer,GER - Grönebaum/Prüfer,21,5,,,,,,,,,Rasmus Prüfer,Emil Grönebaum,,,,,,,,,,,,,rotem kimhi,Tomer Zholkovsky,,,,,,,,,,,,
Group Stage,Men's Individual,Group M (132 - 134),2,Single game,DEN - Christensen/Søvndal,NED - Brus/Brus,DEN - Christensen/Søvndal,21,12,,,,,,,,,Kasper Søvndal,Andreas Christensen,,,,,,,,,,,,,Rudo Brus,Jeroen Brus,,,,,,,,,,,,
Group Stage,Men's Individual,Group M (132 - 134),2,Single game,BEL - Hublet/Vandamme,HKG - Ma/Au,BEL - Hublet/Vandamme,21,10,,,,,,,,,Gauthier Vandamme,Gilles Hublet,,,,,,,,,,,,,Chingle Au,Chris Ma,,,,,,,,,,,,
Group Stage,Men's Individual,Group N (135 - 137),2,Single game,GER - Claus/Klement,IRE - Duffy/Byrne,GER - Claus/Klement,21,7,,,,,,,,,Tim Klement,Fabian Claus,,,,,,,,,,,,,Liam Duffy,Sean Byrne,,,,,,,,,,,,
Group Stage,Men's Individual,Group N (135 - 137),2,Single game,FRA - Améziane/Mareschal,DEN - Høj/Linnet,FRA - Améziane/Mareschal,21,13,,,,,,,,,Dorian Améziane,Louis Mareschal,,,,,,,,,,,,,Søren Høy,Mathias Linnet,,,,,,,,,,,,
Group Stage,Men's Individual,Group N (135 - 137),2,Single game,AUS - Kaldor/Read,LTU - Buckiunas/Ignatavicius,AUS - Kaldor/Read,21,6,,,,,,,,,Thomas Kaldor,Joel Read,,,,,,,,,,,,,Rokas Ignatavičius,Gytis Buckiūnas,,,,,,,,,,,,
Group Stage,Men's Individual,Group A (101 - 102),3,Single game,CAN - Dean/Mathieu,SUI - Rimle/Tognini,CAN - Dean/Mathieu,21,11,,,,,,,,,Emerson Dean,Vincent Mathieu,,,,,,,,,,,,,Emanuel Rimle,Nicolas Tognini,,,,,,,,,,,,
Group Stage,Men's Individual,Group A (101 - 102),3,Single game,CZE - Cabala/Nerad,MEX - Goar/Canovas,CZE - Cabala/Nerad,21,16,,,,,,,,,Jaroslav Čabala,Kasimir Nerad,,,,,,,,,,,,,Santiago Canovas,Gerardo Goar,,,,,,,,,,,,
Group Stage,Men's Individual,Group B (103 - 104),3,Single game,USA - Bondi/Finocchi,SUI - Kukuljan/Rieser,USA - Bondi/Finocchi,21,15,,,,,,,,,Gabriel Finocchi,Joe Bondi,Gabriel Finocchi,PJ Showalter,,,,,,,,,,,Teo Kukuljan,Serafin Rieser,,,,,,,,,,,,
Group Stage,Men's Individual,Group B (103 - 104),3,Single game,AUT - Gangkofner/Mitterwald,ROU - Colac/Popa,AUT - Gangkofner/Mitterwald,21,14,,,,,,,,,Johannes Mitterwald,Mathias Gangkofner,,,,,,,,,,,,,Traian Colac,Madalin Popa,,,,,,,,,,,,
Group Stage,Men's Individual,Group C (105 - 106),3,Single game,USA - Cole/Klapwijk,LTU - Butkus/Lekečinskas,USA - Cole/Klapwijk,21,9,,,,,,,,,Matthew Cole,Grant Klapwijk,,,,,,,,,,,,,Mindaugas Butkus,Ugnius Lekecinskas,,,,,,,,,,,,
Group Stage,Men's Individual,Group C (105 - 106),3,Single game,SUI - Bürki/Eigenmann,LAT - Beļajevs/Eglītis,SUI - Bürki/Eigenmann,21,4,,,,,,,,,Jonas Eigenmann,Luc Bürki,,,,,,,,,,,,,Miks Eglitis,Andris Belajevs,,,,,,,,,,,,
Group Stage,Men's Individual,Group D (107 - 108),3,Single game,CAN - Bosak/Cote,CZE - Mezzey/Visek,CAN - Bosak/Cote,21,14,,,,,,,,,Blake Bosak,Etienne Cote,,,,,,,,,,,,,Sebi Mezzey,Jakub Víšek,,,,,,,,,,,,
Group Stage,Men's Individual,Group D (107 - 108),3,Single game,GBR - Rowlands/Hutko,BRA - Tiba/Silva,GBR - Rowlands/Hutko,21,9,,,,,,,,,Josh Hutko,David Rowlands,,,,,,,,,,,,,Nicolas Tiba,Victor Hugo da Silva,,,,,,,,,,,,
Group Stage,Men's Individual,Group E (109 - 110),3,Single game,GER - Eisenträger/Siemer,BEL - Theunis/Declercq,GER - Eisenträger/Siemer,21,9,,,,,,,,,Paul Siemer,Eisenträger Lukas,,,,,,,,,,,,,Bram Declercq,Frederik Theunis,,,,,,,,,,,,
Group Stage,Men's Individual,Group E (109 - 110),3,Single game,ITA - Mercadini/Pareschi,TWN - Chen/Kao,ITA - Mercadini/Pareschi,21,17,,,,,,,,,riccardo mercadini,Mattia Pareschi,,,,,,,,,,,,,Po-Jui Chen,Yu-Heng Kao,,,,,,,,,,,,
Group Stage,Men's Individual,Group F (111 - 113),3,Single game,USA - Hamilton/Marino,FIN - Kyläinpää/Kyläinpää,USA - Hamilton/Marino,21,8,,,,,,,,,Ryan Marino,Thomas Hamilton,,,,,,,,,,,,,Kosti Kyläinpää,Kari Kyläinpää,,,,,,,,,,,,
Group Stage,Men's Individual,Group F (111 - 113),3,Single game,ESP - Campos/ Forschner,INA - Denny/Genta,ESP - Campos/ Forschner,21,6,,,,,,,,,Marcos Campos,Erik Borja Forschner Mitre,,,,,,,,,,,,,Genta Fajar,Denny Rahmat Ramdhani,,,,,,,,,,,,
Group Stage,Men's Individual,Group F (111 - 113),3,Single game,SWE - Ekman/Stenquist,MEX - Rivera/Islas,SWE - Ekman/Stenquist,21,8,,,,,,,,,Esaja Ekman,Simon Stenquist,,,,,,,,,,,,,Mauricio Rivera,Dante Islas,,,,,,,,,,,,
Group Stage,Men's Individual,Group G (114 - 116),3,Single game,USA - Picone/Nelson,FIN - Youssef/Heikkinen,USA - Picone/Nelson,21,5,,,,,,,,,Will Picone,Connor Nelson,,,,,,,,,,,,,Waltteri Heikkinen,Amir Youssef,,,,,,,,,,,,
Group Stage,Men's Individual,Group G (114 - 116),3,Single game,ITA - Dudine/Zanellato,INA - Fairuzzaman/Rudy,ITA - Dudine/Zanellato,21,7,,,,,,,,,Jacopo Dudine,Alessandro Zanellato,,,,,,,,,,,,,Rudy Nugraha,Naufal Fairuzzaman,,,,,,,,,,,,
Group Stage,Men's Individual,Group G (114 - 116),3,Single game,NOR - Aasen/Hanisch,BRA - Ítalo/Zancan,NOR - Aasen/Hanisch,21,8,,,,,,,,,Halvard Hanisch,Benjamin Aasen,,,,,,,,,,,,,Pedro Zancan,Danilo Italo,,,,,,,,,,,,
